,Name,Year,Ratings,Votes,Genres,Directors,Actors,Information
22,After Life,(2019– ),8.4,"77,971","Comedy, Drama",Ricky Gervais,"['Tom Basden', 'Tony Way', 'Diane Morgan']","After Tony's wife dies unexpectedly, his nice-guy persona is altered into an impulsive, devil-may-care attitude; taking his old world by storm."
23,The Gentlemen,(2019),7.9,"180,061","Action, Comedy, Crime",Guy Ritchie,"['Matthew McConaughey', 'Charlie Hunnam', 'Michelle Dockery', 'Jeremy Strong']","An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him."
24,Crawl,(I) (2019),6.2,"62,002","Action, Drama, Horror",Alexandre Aja,"['Kaya Scodelario', 'Barry Pepper', 'Morfydd Clark', 'Ross Anderson']","A young woman, while attempting to save her father during a category 5 hurricane, finds herself trapped in a flooding house and must fight for her life against alligators."
25,Annabelle Comes Home,(2019),5.9,"53,734","Horror, Mystery, Thriller",Gary Dauberman,"['Vera Farmiga', 'Patrick Wilson', 'Mckenna Grace', 'Madison Iseman']","While babysitting the daughter of Ed and Lorraine Warren, a teenager and her friend unknowingly awaken an evil spirit trapped in a doll."
26,El hoyo,(2019),7.0,"145,391","Horror, Sci-Fi, Thriller",Galder Gaztelu-Urrutia,"['Ivan Massagué', 'Zorion Eguileor', 'Antonia San Juan', 'Emilio Buale']",A vertical prison with one cell per level. Two people per cell. One only food platform and two minutes per day to feed from up to down. An endless nightmare trapped in The Hole.
27,Happy Death Day 2U,(2019),6.2,"52,626","Comedy, Horror, Mystery",Christopher Landon,"['Jessica Rothe', 'Israel Broussard', 'Phi Vu', 'Suraj Sharma']",Tree Gelbman discovers that dying over and over was surprisingly easier than the dangers that lie ahead.
28,The Mandalorian,(2019– ),8.7,"186,101","Action, Adventure, Sci-Fi",Pedro Pascal,"['Carl Weathers', 'Rio Hackford', 'Gina Carano']","The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic."
29,6 Underground,(2019),6.1,"129,733","Action, Thriller",Michael Bay,"['Ryan Reynolds', 'Mélanie Laurent', 'Manuel Garcia-Rulfo', 'Ben Hardy']","Meet a new kind of action hero. Six untraceable agents, totally off the grid. They've buried their pasts so they can change the future."
30,Yesterday,(III) (2019),6.8,"105,469","Comedy, Fantasy, Music",Danny Boyle,"['Himesh Patel', 'Lily James', 'Sophia Di Martino', 'Ellise Chappell']",A struggling musician realizes he's the only person on Earth who can remember The Beatles after waking up in an alternate timeline where they never existed.
31,The King,(I) (2019),7.2,"79,415","Biography, Drama, History",David Michôd,"['Tom Glynn-Carney', 'Gábor Czap', 'Tom Fisher', 'Edward Ashley']","Hal, wayward prince and heir to the English throne, is crowned King Henry V after his tyrannical father dies. Now the young king must navigate palace politics, the war his father left behind, and the emotional strings of his past life."
